sFIdx = 0, lFMinDisIdx = 0, sFMinDisIdx = 3
sFIdx = 1, lFMinDisIdx = 0, sFMinDisIdx = 3
sFIdx = 2, lFMinDisIdx = 0, sFMinDisIdx = 3
sFIdx = 3, lFMinDisIdx = 0, sFMinDisIdx = 3
sFIdx = 4, lFMinDisIdx = 1, sFMinDisIdx = 4
sFIdx = 5, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 6, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 7, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 8, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 9, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 10, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 11, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 12, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 13, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 14, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 15, lFMinDisIdx = 29, sFMinDisIdx = 18
sFIdx = 16, lFMinDisIdx = 29, sFMinDisIdx = 18
sFIdx = 17, lFMinDisIdx = 29, sFMinDisIdx = 18
sFIdx = 18, lFMinDisIdx = 29, sFMinDisIdx = 18
sFIdx = 19, lFMinDisIdx = 28, sFMinDisIdx = 19
sFIdx = 20, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 21, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 22, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 23, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 24, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 25, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 26, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 27, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 28, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 29, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 0, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 1, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 2, lFMinDisIdx = 2, sFMinDisIdx = 2
sFIdx = 3, lFMinDisIdx = 3, sFMinDisIdx = 5
sFIdx = 4, lFMinDisIdx = 3, sFMinDisIdx = 5
sFIdx = 5, lFMinDisIdx = 3, sFMinDisIdx = 5
sFIdx = 6, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 7, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 8, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 9, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 10, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 11, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 12, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 13, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 14, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 15, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 16, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 17, lFMinDisIdx = 27, sFMinDisIdx = 17
sFIdx = 18, lFMinDisIdx = 26, sFMinDisIdx = 20
sFIdx = 19, lFMinDisIdx = 26, sFMinDisIdx = 20
sFIdx = 20, lFMinDisIdx = 26, sFMinDisIdx = 20
sFIdx = 21, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 22, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 23, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 24, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 25, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 26, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 27, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 28, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 29, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 0, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 1, lFMinDisIdx = 4, sFMinDisIdx = 1
sFIdx = 2, lFMinDisIdx = 5, sFMinDisIdx = 6
sFIdx = 3, lFMinDisIdx = 5, sFMinDisIdx = 6
sFIdx = 4, lFMinDisIdx = 5, sFMinDisIdx = 6
sFIdx = 5, lFMinDisIdx = 5, sFMinDisIdx = 6
sFIdx = 6, lFMinDisIdx = 5, sFMinDisIdx = 6
sFIdx = 7, lFMinDisIdx = 6, sFMinDisIdx = 0
sFIdx = 8, lFMinDisIdx = 6, sFMinDisIdx = 0
sFIdx = 9, lFMinDisIdx = 6, sFMinDisIdx = 0
sFIdx = 10, lFMinDisIdx = 6, sFMinDisIdx = 0
sFIdx = 11, lFMinDisIdx = 6, sFMinDisIdx = 0
sFIdx = 12, lFMinDisIdx = 6, sFMinDisIdx = 0
sFIdx = 13, lFMinDisIdx = 6, sFMinDisIdx = 0
sFIdx = 14, lFMinDisIdx = 6, sFMinDisIdx = 0
sFIdx = 15, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 16, lFMinDisIdx = 25, sFMinDisIdx = 16
sFIdx = 17, lFMinDisIdx = 24, sFMinDisIdx = 21
sFIdx = 18, lFMinDisIdx = 24, sFMinDisIdx = 21
sFIdx = 19, lFMinDisIdx = 24, sFMinDisIdx = 21
sFIdx = 20, lFMinDisIdx = 24, sFMinDisIdx = 21
sFIdx = 21, lFMinDisIdx = 24, sFMinDisIdx = 21
sFIdx = 22, lFMinDisIdx = 23, sFMinDisIdx = 15
sFIdx = 23, lFMinDisIdx = 23, sFMinDisIdx = 15
sFIdx = 24, lFMinDisIdx = 23, sFMinDisIdx = 15
sFIdx = 25, lFMinDisIdx = 23, sFMinDisIdx = 15
sFIdx = 26, lFMinDisIdx = 23, sFMinDisIdx = 15
sFIdx = 27, lFMinDisIdx = 23, sFMinDisIdx = 15
sFIdx = 28, lFMinDisIdx = 23, sFMinDisIdx = 15
sFIdx = 29, lFMinDisIdx = 23, sFMinDisIdx = 15
sFIdx = 0, lFMinDisIdx = 6, sFMinDisIdx = 0
sFIdx = 1, lFMinDisIdx = 7, sFMinDisIdx = 7
sFIdx = 2, lFMinDisIdx = 7, sFMinDisIdx = 7
sFIdx = 3, lFMinDisIdx = 7, sFMinDisIdx = 7
sFIdx = 4, lFMinDisIdx = 7, sFMinDisIdx = 7
sFIdx = 5, lFMinDisIdx = 7, sFMinDisIdx = 7
sFIdx = 6, lFMinDisIdx = 7, sFMinDisIdx = 7
sFIdx = 7, lFMinDisIdx = 7, sFMinDisIdx = 7
sFIdx = 8, lFMinDisIdx = 8, sFMinDisIdx = 8
sFIdx = 9, lFMinDisIdx = 9, sFMinDisIdx = 9
sFIdx = 10, lFMinDisIdx = 10, sFMinDisIdx = 10
sFIdx = 11, lFMinDisIdx = 11, sFMinDisIdx = 11
sFIdx = 12, lFMinDisIdx = 12, sFMinDisIdx = 12
sFIdx = 13, lFMinDisIdx = 13, sFMinDisIdx = 13
sFIdx = 14, lFMinDisIdx = 14, sFMinDisIdx = 14
sFIdx = 15, lFMinDisIdx = 23, sFMinDisIdx = 15
sFIdx = 16, lFMinDisIdx = 22, sFMinDisIdx = 22
sFIdx = 17, lFMinDisIdx = 22, sFMinDisIdx = 22
sFIdx = 18, lFMinDisIdx = 22, sFMinDisIdx = 22
sFIdx = 19, lFMinDisIdx = 22, sFMinDisIdx = 22
sFIdx = 20, lFMinDisIdx = 22, sFMinDisIdx = 22
sFIdx = 21, lFMinDisIdx = 22, sFMinDisIdx = 22
sFIdx = 22, lFMinDisIdx = 22, sFMinDisIdx = 22
sFIdx = 23, lFMinDisIdx = 21, sFMinDisIdx = 23
sFIdx = 24, lFMinDisIdx = 20, sFMinDisIdx = 24
sFIdx = 25, lFMinDisIdx = 19, sFMinDisIdx = 25
sFIdx = 26, lFMinDisIdx = 18, sFMinDisIdx = 26
sFIdx = 27, lFMinDisIdx = 17, sFMinDisIdx = 27
sFIdx = 28, lFMinDisIdx = 16, sFMinDisIdx = 28
sFIdx = 29, lFMinDisIdx = 15, sFMinDisIdx = 29
